player_id,player_name,season,role,team,matches,runs,balls_faced,batting_strike_rate,powerplay_strike_rate,middle_strike_rate,death_strike_rate,boundaries_fours,boundaries_sixes,highest_score,fifties,hundreds,overs_bowled,runs_conceded,wickets,bowling_economy,death_over_economy,dot_ball_percentage
P001,Virat Kohli,2024,Batsman,RCB,15,741,479,154.7,162.5,138.4,191.2,62,38,113,5,1,0.0,0,0,0.0,0.0,0.0
P001,Virat Kohli,2023,Batsman,RCB,14,639,457,139.8,142.1,131.0,175.5,65,16,101,6,2,0.0,0,0,0.0,0.0,0.0
P001,Virat Kohli,2022,Batsman,RCB,16,341,294,116.0,118.2,108.5,145.0,32,8,73,2,0,0.0,0,0,0.0,0.0,0.0
P002,Ruturaj Gaikwad,2024,Batsman,CSK,14,583,413,141.2,148.0,132.5,165.0,58,18,108,4,1,0.0,0,0,0.0,0.0,0.0
P002,Ruturaj Gaikwad,2023,Batsman,CSK,16,590,400,147.5,152.0,138.0,178.0,46,30,92,4,0,0.0,0,0,0.0,0.0,0.0
P003,Travis Head,2024,Batsman,SRH,15,567,296,191.6,218.4,168.0,210.0,64,31,102,4,1,1.0,12,0,12.0,0.0,20.0
P004,Abhishek Sharma,2024,Batsman,SRH,16,484,237,204.2,228.5,178.0,225.0,36,42,75,3,0,6.0,68,2,11.3,14.5,25.0
P005,Heinrich Klaasen,2024,Batsman,SRH,16,479,280,171.1,135.0,165.4,224.2,19,38,80,4,0,0.0,0,0,0.0,0.0,0.0
P005,Heinrich Klaasen,2023,Batsman,SRH,12,448,253,177.1,140.0,172.0,230.0,32,25,104,2,1,0.0,0,0,0.0,0.0,0.0
P006,Sanju Samson,2024,Wicket-Keeper,RR,16,531,346,153.5,158.0,144.2,182.0,48,24,86,5,0,0.0,0,0,0.0,0.0,0.0
P006,Sanju Samson,2023,Wicket-Keeper,RR,14,362,236,153.4,155.0,145.0,180.0,30,24,66,3,0,0.0,0,0,0.0,0.0,0.0
P007,Riyan Parag,2024,All-Rounder,RR,15,573,384,149.2,125.0,148.5,192.4,40,33,84,4,0,3.0,32,0,10.7,13.0,33.3
P008,KL Rahul,2024,Wicket-Keeper,LSG,14,520,381,136.5,141.0,128.0,162.0,45,19,82,4,0,0.0,0,0,0.0,0.0,0.0
P008,KL Rahul,2022,Wicket-Keeper,LSG,15,616,455,135.4,138.0,126.0,170.0,45,30,103,4,2,0.0,0,0,0.0,0.0,0.0
P009,Rishabh Pant,2024,Wicket-Keeper,DC,13,446,287,155.4,142.0,150.0,195.0,36,25,88,3,0,0.0,0,0,0.0,0.0,0.0
P010,Sunil Narine,2024,All-Rounder,KKR,15,488,270,180.7,202.0,154.0,190.0,50,33,109,3,1,55.0,366,17,6.65,8.2,46.4
P010,Sunil Narine,2023,All-Rounder,KKR,14,21,26,80.8,75.0,85.0,0.0,2,0,7,0,0,52.0,415,11,7.98,9.5,41.2
P011,Jasprit Bumrah,2024,Bowler,MI,13,12,8,150.0,0.0,120.0,180.0,1,0,8,0,0,51.5,334,20,6.45,7.1,51.8
P011,Jasprit Bumrah,2022,Bowler,MI,14,11,11,100.0,0.0,90.0,110.0,1,0,8,0,0,53.2,382,15,7.18,7.9,48.5
P012,Harshal Patel,2024,Bowler,PBKS,14,35,26,134.6,0.0,110.0,160.0,2,2,15,0,0,49.0,477,24,9.73,10.2,36.7
P012,Harshal Patel,2021,Bowler,RCB,15,59,44,134.1,0.0,120.0,150.0,4,2,31,0,0,56.2,459,32,8.14,8.5,42.0
P013,Varun Chakaravarthy,2024,Bowler,KKR,15,2,3,66.7,0.0,66.7,0.0,0,0,2,0,0,56.0,450,21,8.04,9.1,43.2
P013,Varun Chakaravarthy,2023,Bowler,KKR,14,1,2,50.0,0.0,50.0,0.0,0,0,1,0,0,52.4,427,20,8.14,9.3,42.0
P014,Yuzvendra Chahal,2024,Bowler,RR,15,5,9,55.6,0.0,55.6,0.0,0,0,3,0,0,58.0,546,18,9.41,11.2,34.5
P014,Yuzvendra Chahal,2022,Bowler,RR,17,6,7,85.7,0.0,85.7,0.0,0,0,5,0,0,68.0,527,27,7.75,8.8,45.1
P015,Kuldeep Yadav,2024,Bowler,DC,11,41,31,132.3,0.0,125.0,150.0,3,1,19,0,0,44.0,382,16,8.68,9.8,40.2
P015,Kuldeep Yadav,2023,Bowler,DC,14,38,36,105.6,0.0,100.0,120.0,2,1,14,0,0,51.0,373,10,7.31,8.4,44.0
P016,Andre Russell,2024,All-Rounder,KKR,15,222,119,186.6,140.0,175.0,220.0,18,16,64,1,0,29.2,236,19,8.05,9.4,38.0
P016,Andre Russell,2022,All-Rounder,KKR,14,335,192,174.5,130.0,165.0,215.0,18,32,49,1,0,28.1,281,17,9.93,11.5,33.0
P017,Hardik Pandya,2024,All-Rounder,MI,14,216,151,143.0,125.0,135.0,175.0,14,11,46,0,0,36.0,387,11,10.75,12.8,31.0
P017,Hardik Pandya,2022,All-Rounder,GT,15,487,371,131.3,128.0,127.0,155.0,49,12,87,4,0,24.3,177,8,7.27,8.6,41.0
P018,Shubman Gill,2024,Batsman,GT,12,426,290,146.9,151.0,138.0,170.0,38,15,104,2,1,0.0,0,0,0.0,0.0,0.0
P018,Shubman Gill,2023,Batsman,GT,17,890,564,157.8,149.0,152.0,195.0,85,33,129,4,3,0.0,0,0,0.0,0.0,0.0
P019,Suryakumar Yadav,2024,Batsman,MI,11,345,206,167.5,145.0,162.0,210.0,36,18,102,3,1,0.0,0,0,0.0,0.0,0.0
P019,Suryakumar Yadav,2023,Batsman,MI,16,605,334,181.1,150.0,178.0,225.0,65,28,103,5,1,0.0,0,0,0.0,0.0,0.0
P020,MS Dhoni,2024,Wicket-Keeper,CSK,14,161,73,220.5,0.0,160.0,250.0,14,13,37,0,0,0.0,0.0,0,0.0,0.0,0.0
P020,MS Dhoni,2023,Wicket-Keeper,CSK,16,104,57,182.5,0.0,140.0,210.0,3,10,32,0,0,0.0,0.0,0,0.0,0.0,0.0
P021,Shivam Dube,2024,All-Rounder,CSK,14,396,244,162.3,130.0,168.0,185.0,28,28,66,3,0,1.0,14,0,14.0,18.0,16.7
P021,Shivam Dube,2023,All-Rounder,CSK,16,418,264,158.3,125.0,162.0,180.0,12,35,52,3,0,0.0,0,0,0.0,0.0,0.0
P022,Rinku Singh,2024,Batsman,KKR,15,168,113,148.7,120.0,135.0,185.0,13,8,34,0,0,0.0,0,0,0.0,0.0,0.0
P022,Rinku Singh,2023,Batsman,KKR,14,474,317,149.5,122.0,141.0,201.0,31,29,58,4,0,0.0,0,0,0.0,0.0,0.0
P023,Pat Cummins,2024,All-Rounder,SRH,16,136,95,143.2,110.0,130.0,175.0,8,8,31,0,0,62.0,575,18,9.27,10.1,38.2
P024,Mitchell Starc,2024,Bowler,KKR,14,25,21,119.0,0.0,100.0,140.0,2,1,12,0,0,47.5,503,17,10.51,11.8,38.0
P025,Arshdeep Singh,2024,Bowler,PBKS,14,15,14,107.1,0.0,90.0,120.0,1,0,9,0,0,50.2,506,19,10.03,10.9,37.5
P025,Arshdeep Singh,2023,Bowler,PBKS,14,2,5,40.0,0.0,40.0,0.0,0,0,2,0,0,50.0,485,17,9.70,10.4,39.0
